file                                                 format  type  num_seqs     sum_len  min_len  avg_len  max_len     Q1   Q2     Q3  sum_gap  N50  Q20(%)  Q30(%)
S033_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA     37,674   8,514,329      197      226      228    226  226    226        0  226   97.13   91.78
S033_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA     37,674   8,627,356      203      229      231    229  229    229        0  229   96.48   90.22
S034_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA     37,953   8,577,389      201      226      228    226  226    226        0  226   96.99   91.51
S034_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA     37,953   8,691,074      167      229      231    229  229    229        0  229   96.31   90.05
S035_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA     37,792   8,540,986      183      226      228    226  226    226        0  226   97.01   91.59
S035_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA     37,792   8,654,288      187      229      231    229  229    229        0  229   96.38   90.19
S036_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA     36,219   8,185,539      216      226      228    226  226    226        0  226   97.26   92.01
S036_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA     36,219   8,294,216      203      229      231    229  229    229        0  229   96.62    90.5
S037_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA     37,663   8,511,895      177      226      228    226  226    226        0  226   97.08    91.7
S037_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA     37,663   8,624,803      185      229      231    229  229    229        0  229   96.36   89.94
S038_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA     35,658   8,058,679      178      226      228    226  226    226        0  226   97.06   91.62
S038_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA     35,658   8,165,635      178      229      231    229  229    229        0  229   96.32      90
S039_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA     37,306   8,431,209      204      226      228    226  226    226        0  226   97.17   91.94
S039_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA     37,306   8,543,044      201      229      231    229  229    229        0  229   96.55   90.54
S040_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA        212      47,914      225      226      227    226  226    226        0  226   97.32   92.22
S040_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA        212      48,548      229      229      229  114.5  229  114.5        0  229   96.81   90.85
S041_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA         33       7,461      225    226.1      227    226  226    226        0  226   96.86   91.96
S041_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA         33       7,557      229      229      229  114.5  229  114.5        0  229   96.04   90.71
S042_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA     55,184  12,481,868      157    226.2      228    226  226    226        0  226   96.96   91.56
S042_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA     55,184  12,636,819      155      229      231    229  229    229        0  229   96.07   89.46
S043_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA         87      19,736      226    226.9      227    227  227    227        0  227   98.61   94.98
S043_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA         87      19,923      229      229      229  114.5  229  114.5        0  229   98.08   93.33
S045_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA      1,187     269,449      227      227      227  113.5  227  113.5        0  227   97.82   93.35
S045_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA      1,187     271,824      229      229      230    229  229    229        0  229   96.79   90.67
S046_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA     51,547  11,672,846      158    226.5      228    226  226    227        0  226   97.26   92.16
S046_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA     51,547  11,804,132      164      229      231    229  229    229        0  229   96.53   90.29
S047_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA          2         452      226      226      226    113  226    113        0  226   99.34   97.35
S047_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA          2         458      229      229      229  114.5  229  114.5        0  229   98.91   96.29
